,ID,Node,Year,Citations,Centrality,Delta
0,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,1999.0,4.0,6.11172228334e-06,0.0
1,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2000.0,0.0,0.0,-1.0
2,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2001.0,0.0,0.0,0.0
3,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2002.0,0.0,0.0,0.0
4,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2003.0,0.0,0.0,0.0
5,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2004.0,0.0,0.0,0.0
6,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2005.0,0.0,0.0,0.0
7,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2006.0,0.0,0.0,0.0
8,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2007.0,0.0,0.0,0.0
9,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2008.0,0.0,0.0,0.0
10,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2009.0,0.0,0.0,0.0
11,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2010.0,0.0,0.0,0.0
12,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2011.0,0.0,0.0,0.0
13,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2012.0,0.0,0.0,0.0
14,2.0,UMBACH_AL_1993_PLANT_PHYSIOL,2013.0,0.0,0.0,0.0
15,3.0,YANOFSKY_MF_1990_NATURE,1999.0,3.0,0.0,0.0
16,3.0,YANOFSKY_MF_1990_NATURE,2000.0,0.0,0.0,-1.0
17,3.0,YANOFSKY_MF_1990_NATURE,2001.0,0.0,0.0,0.0
18,3.0,YANOFSKY_MF_1990_NATURE,2002.0,5.0,1.02564102564e-05,5.0
19,3.0,YANOFSKY_MF_1990_NATURE,2003.0,0.0,0.0,-1.0
20,3.0,YANOFSKY_MF_1990_NATURE,2004.0,0.0,0.0,0.0
21,3.0,YANOFSKY_MF_1990_NATURE,2005.0,0.0,0.0,0.0
22,3.0,YANOFSKY_MF_1990_NATURE,2006.0,0.0,0.0,0.0
23,3.0,YANOFSKY_MF_1990_NATURE,2007.0,0.0,0.0,0.0
24,3.0,YANOFSKY_MF_1990_NATURE,2008.0,0.0,0.0,0.0
25,3.0,YANOFSKY_MF_1990_NATURE,2009.0,4.0,3.84067595897e-05,4.0
26,3.0,YANOFSKY_MF_1990_NATURE,2010.0,0.0,0.0,-1.0
27,3.0,YANOFSKY_MF_1990_NATURE,2011.0,0.0,0.0,0.0
28,3.0,YANOFSKY_MF_1990_NATURE,2012.0,0.0,0.0,0.0
29,3.0,YANOFSKY_MF_1990_NATURE,2013.0,0.0,0.0,0.0
30,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,1999.0,4.0,0.0,0.0
31,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2000.0,0.0,0.0,-1.0
32,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2001.0,0.0,0.0,0.0
33,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2002.0,4.0,1.53846153846e-05,4.0
34,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2003.0,0.0,0.0,-1.0
35,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2004.0,6.0,0.0,6.0
36,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2005.0,0.0,0.0,-1.0
37,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2006.0,0.0,0.0,0.0
38,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2007.0,0.0,0.0,0.0
39,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2008.0,0.0,0.0,0.0
40,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2009.0,0.0,0.0,0.0
41,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2010.0,0.0,0.0,0.0
42,5.0,KOORNNEEF_M_1980_THEOR_APPL_GENET,2011.0,0.0,0.0,0.0
